LogisticRegression,RandomForestClassifier,AdaBoostClassifier
0.6524704764490294,0.776265779828967,0.6759875118772907
0.6498014863076453,0.6647663646543825,0.6633411381451695
0.6376658942489993,0.6622910470720952,0.6582618580138473
0.7016615737441501,0.7215764554005499,0.7214967761406634
